Rank,Title,Artist,Chart Date,Scraped At
1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:37:48.431125
2,Ordinary,Alex Warren,2025-08-30,2025-08-30T14:37:48.434176
3,What I Want,Morgan Wallen Featuring Tate McRae,2025-08-30,2025-08-30T14:37:48.436750
4,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025-08-30,2025-08-30T14:37:48.439654
5,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025-08-30,2025-08-30T14:37:48.443099
6,Love Me Not,Ravyn Lenae,2025-08-30,2025-08-30T14:37:48.448876
7,Lose Control,Teddy Swims,2025-08-30,2025-08-30T14:37:48.462473
8,Daisies,Justin Bieber,2025-08-30,2025-08-30T14:37:48.472606
9,Just In Case,Morgan Wallen,2025-08-30,2025-08-30T14:37:48.494105
10,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:37:48.505697
11,Die With A Smile,Lady Gaga & Bruno Mars,2025-08-30,2025-08-30T14:37:48.512376
12,Good News,Shaboozey,2025-08-30,2025-08-30T14:37:48.523730
13,A Bar Song (Tipsy),Shaboozey,2025-08-30,2025-08-30T14:37:48.533132
14,Manchild,Sabrina Carpenter,2025-08-30,2025-08-30T14:37:48.550313
15,Mutt,Leon Thomas,2025-08-30,2025-08-30T14:37:48.558940
16,I'm The Problem,Morgan Wallen,2025-08-30,2025-08-30T14:37:48.566279
17,Beautiful Things,Benson Boone,2025-08-30,2025-08-30T14:37:48.575526
18,Pink Pony Club,Chappell Roan,2025-08-30,2025-08-30T14:37:48.587357
19,I Got Better,Morgan Wallen,2025-08-30,2025-08-30T14:37:48.594145
20,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:37:48.601543
21,Luther,Kendrick Lamar & SZA,2025-08-30,2025-08-30T14:37:48.607761
22,Birds Of A Feather,Billie Eilish,2025-08-30,2025-08-30T14:37:48.614812
23,Free,"Rumi, JINU, EJAE & Andrew Choi",2025-08-30,2025-08-30T14:37:48.623432
24,I Had Some Help,Post Malone Featuring Morgan Wallen,2025-08-30,2025-08-30T14:37:48.639127
25,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:37:48.647515
26,Sorry I'm Here For Someone Else,Benson Boone,2025-08-30,2025-08-30T14:37:48.651129
27,Undressed,sombr,2025-08-30,2025-08-30T14:37:48.654768
28,The Subway,Chappell Roan,2025-08-30,2025-08-30T14:37:48.657777
29,Yukon,Justin Bieber,2025-08-30,2025-08-30T14:37:48.661793
30,Mystical Magical,Benson Boone,2025-08-30,2025-08-30T14:37:48.665003
31,Back To Friends,sombr,2025-08-30,2025-08-30T14:37:48.667951
