id,artist,total_score,chart_date,songs_count,chart_positions,scraped_at
68,"HUNTR/X: EJAE, Audrey Nuna",348,2025-08-30,4,"[1, 10, 20, 25]",2025-08-30T13:02:44.367279
71,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo",193,2025-08-30,2,"[4, 5]",2025-08-30T13:02:44.367319
86,"Rumi, JINU, EJAE",78,2025-08-30,1,[23],2025-08-30T13:02:44.367441
104,"JEONGYEON, JIHYO",48,2025-08-30,1,[53],2025-08-30T13:02:44.367579
109,BigXthaPlug,40,2025-08-30,1,[61],2025-08-30T13:02:44.367616
112,"MOLIY, Silent Addy, Skillibeng",36,2025-08-30,1,[65],2025-08-30T13:02:44.367667
143,Bailey Zimmerman,135,2025-08-30,2,"[33, 34]",2025-08-30T13:14:23.632677
147,Lady Gaga,90,2025-08-30,1,[11],2025-08-30T13:14:23.632700
151,Kendrick Lamar,80,2025-08-30,1,[21],2025-08-30T13:14:23.632748
153,Post Malone,77,2025-08-30,1,[24],2025-08-30T13:14:23.632760
155,Mariah the Scientist,71,2025-08-30,2,"[36, 95]",2025-08-30T13:14:23.632771
156,Chris Brown,69,2025-08-30,1,[32],2025-08-30T13:14:23.632777
157,"Tyler, the Creator",68,2025-08-30,2,"[49, 85]",2025-08-30T13:14:23.632783
159,jessie murph,64,2025-08-30,1,[37],2025-08-30T13:14:23.632794
160,SZA,63,2025-08-30,1,[38],2025-08-30T13:14:23.632800
164,Bruno Mars,59,2025-08-30,1,[42],2025-08-30T13:14:23.632822
167,Scotty McCreery,53,2025-08-30,1,[48],2025-08-30T13:14:23.632842
168,Tinashe,51,2025-08-30,1,[50],2025-08-30T13:14:23.632848
173,Twice,44,2025-08-30,1,[57],2025-08-30T13:14:23.632876
177,Pierce the Veil,37,2025-08-30,1,[64],2025-08-30T13:14:23.632898
183,Playboi Carti,25,2025-08-30,1,[76],2025-08-30T13:14:23.632931
190,Brandon Lake,17,2025-08-30,1,[84],2025-08-30T13:14:23.632972
192,Glorilla,13,2025-08-30,1,[88],2025-08-30T13:14:23.632983
193,MGK,11,2025-08-30,1,[90],2025-08-30T13:14:23.632988
276,Morgan Wallen,402,2025-08-30,7,"[9, 16, 19, 44, 55, 75, 87]",2025-08-30T14:28:37.176535
277,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",348,2025-08-30,4,"[1, 10, 20, 25]",2025-08-30T14:28:37.176779
278,Benson Boone,230,2025-08-30,3,"[17, 26, 30]",2025-08-30T14:28:37.176791
279,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",193,2025-08-30,2,"[4, 5]",2025-08-30T14:28:37.176799
280,Shaboozey,177,2025-08-30,2,"[12, 13]",2025-08-30T14:28:37.176807
281,Justin Bieber,165,2025-08-30,2,"[8, 29]",2025-08-30T14:28:37.176814
282,Chappell Roan,156,2025-08-30,2,"[18, 28]",2025-08-30T14:28:37.176820
283,sombr,144,2025-08-30,2,"[27, 31]",2025-08-30T14:28:37.176826
